file_path,class_name
VIN/50a418190bc3fb1ef1633bf9678929b3.png,Normal
VIN/21a10246a5ec7af151081d0cd6d65dc9.png,Normal
VIN/063319de25ce7edb9b1c6b8881290140.png,Normal
VIN/afb6230703512afc370f236e8fe98806.png,Fibrosis
VIN/7c1add6833d5f0102b0d3619a1682a64.png,Lung_Opacity
VIN/18a61a07e6f5f13ebfee57fa36cd8b6f.png,Fibrosis
VIN/5550a493b1c4554da469a072fdfab974.png,Normal
VIN/869f39afbdd8783b531530942eda8bad.png,Normal
VIN/f55460fccf2d3c591f57f9c0de2c37c2.png,Normal
VIN/cdbacab6bf30170ef0ba9fd1d195d270.png,Normal
VIN/c6e0ab2470d98a6a8c701e774df929cc.png,Normal
VIN/5e56b7582a7cb3616e69cf95cb544a17.png,Normal
VIN/fc06d54844aee54acd87466f59acfc5b.png,Normal
VIN/5ce53167cb33fa63c59af857d7236416.png,Normal
VIN/63d5b6f568f005932b9246bcb40eee68.png,Normal
VIN/22b8e616a61bbc4caaed0cf23b7159df.png,Fibrosis
VIN/9b85b7ef757927db44393d03083a757c.png,Normal
VIN/fdd5c663764c4f333a42250ad5a67790.png,Normal
VIN/b911c2fdb0b80d9c7214a859aced0a8a.png,Normal
VIN/5d03f4c2d353a2ddfdc4ba932e5b1029.png,Normal
VIN/42d472bdda3ad93dac63c8e5e29977bb.png,Normal
VIN/2b1293d9c276e5439e499f58ce2e31ab.png,Normal
VIN/e4b12e030788bbd71f7ad72fa1ee5a71.png,Normal
VIN/be1bb194dfb986bf7554b491852b8901.png,Lung_Opacity
VIN/a2a8eb578628cb2c353e6b6dc311de5c.png,Normal
VIN/ad2367bde2706f692c2e1a1d12c492b9.png,Normal
VIN/d86c7405606f965ab7300ef1eacbcacc.png,Normal
VIN/77c3750fdc5ae970693a6d7080ef702c.png,Normal
VIN/d35342287accb789782fee0e4a8b1031.png,Normal
VIN/abb91bdaa9d02f50bde1eaa88e13afab.png,Lung_Opacity
VIN/73a4407a2df891526e94ba4541023f49.png,Normal
VIN/9fbeb619ac9a406375ef5d6447227b5b.png,Normal
VIN/82bc4f8652641af7cf061ab4b6ead271.png,Normal
VIN/cc9b6ee01a01702434ad789eef9432fb.png,Normal
VIN/e3ac18fd134bcb699760db4ef362e14f.png,Normal
VIN/2561ba15f063a8e3a0322ad943738bb5.png,Normal
VIN/764205f702d380f8a4da5cffa538f48d.png,Normal
VIN/75de97fbdf15aa3e1927a97ff9479327.png,Fibrosis
VIN/59979178089975839bbc17e5cb88faf2.png,Normal
VIN/0890c2d68d17561848b25c61fb1da200.png,Normal
VIN/0ec928d72a4d206fe1b87ab683171004.png,Normal
VIN/b3cc453518cf826875edcd3d5778ee87.png,Fibrosis
VIN/b76a2de0cd2d3a9625e7df015ccf3816.png,Normal
VIN/2d8289dc0a35bc2c7d3b0afb4d0c25fb.png,Normal
VIN/20294a6c521b2ffc8ee2e7e1cac1fc50.png,Normal
VIN/b5a0555e2c623c355901601a907c6342.png,Normal
VIN/b31653be8e7a18487acbed2f8260c5ef.png,Normal
VIN/2b73e82661e82f7c15c3ddaa15926d35.png,Normal
VIN/7b6c00f300b0aa2c2c2bd0b51edea43a.png,Normal
VIN/890c7efc23b2a23439c301dca707c33f.png,Normal
VIN/37233691ba64ed88b4e05882d7e41d61.png,Fibrosis
VIN/69f5d29210d98df18120534adb990291.png,Normal
VIN/189e409214f5a4639d821a34064d9140.png,Normal
VIN/c438d1ff72b5848adb7a063ebc90cd12.png,Normal
VIN/abdc33338a055571bf9fae0f09eb0bd5.png,Normal
VIN/d40b35c2f594b89524c67af46ac342f6.png,Normal
VIN/6ec4a6b5d3180220d6debf958d147c25.png,Normal
VIN/56923ac65e4a3bf6e8ec0af530c4a205.png,Fibrosis
VIN/c113ff68c59ef8d40cd4c0bd6e021a6e.png,Normal
VIN/469999b0e3acee129f96aceaa99eba0d.png,Normal
VIN/5e9fc4e951e8048c756407f2044e11b4.png,Normal
VIN/8cc5ee4cf5c697d98d7c85951aa4f8d7.png,Fibrosis
VIN/436c7165593cde9087c4b4cce3a9fe0c.png,Normal
VIN/9f9d3d28dce21c8666f9eeb04af69040.png,Normal
VIN/0d6acec8422b6fb8e214f770a1ff7d2d.png,Normal
VIN/9ff7d07078bc454c9261e29ecf89f55a.png,Normal
VIN/f04c6687c5179de2c61c1dd4ae20c758.png,Normal
VIN/1ee956f957e7b9ec0787e07fe2b76135.png,Fibrosis
VIN/f16f3e2e2b4edc07e2ce6b7c490fb025.png,Normal
VIN/cc98da13c817495f32b5ccab2b009cd3.png,Normal
VIN/6f71690bf34f0ebf5b14c1ad0ffea243.png,Normal
VIN/d334ba0862d6d00b86cac697698a5fca.png,Normal
VIN/1edd41fbc11831eeb7b70e45bc91214d.png,Normal
VIN/f90442f2620175fa21b6afeda865df11.png,Fibrosis
VIN/5576d293dfccbc926d92d3ec0d20b9af.png,Normal
VIN/bc2be005526db7ab9d5ec6741ddee945.png,Fibrosis
VIN/32f643fbd7e99181193edf3720888743.png,Normal
VIN/23f267e42a7e9f496aa143fe11f241ff.png,Fibrosis
VIN/43d334915f96e4cd350534dd47173791.png,Normal
